file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\360ONE_minute.csv,924521.8052066587
D:\\FINANCE PROJECTS\\DATASETS\\archive\3MINDIA_minute.csv,284631.6737563142
D:\\FINANCE PROJECTS\\DATASETS\\archive\AADHARHFC_minute.csv,1173117.7492090545
D:\\FINANCE PROJECTS\\DATASETS\\archive\AARTIIND_minute.csv,1105382.7817041613
D:\\FINANCE PROJECTS\\DATASETS\\archive\AAVAS_minute.csv,777552.1725813688
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABBOTINDIA_minute.csv,516973.88277732884
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABB_minute.csv,1900926.9191990467
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABCAPITAL_minute.csv,1751485.9039031125
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABFRL_minute.csv,1341701.5115103514
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABLBL_minute.csv,772538.8261862652
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABREL_minute.csv,1602010.8801303636
D:\\FINANCE PROJECTS\\DATASETS\\archive\ABSLAMC_minute.csv,463249.63502016023
D:\\FINANCE PROJECTS\\DATASETS\\archive\ACC_minute.csv,2746392.0211947346
D:\\FINANCE PROJECTS\\DATASETS\\archive\ACE_minute.csv,436218.0193024086
D:\\FINANCE PROJECTS\\DATASETS\\archive\ACMESOLAR_minute.csv,1016906.3005631226
D:\\FINANCE PROJECTS\\DATASETS\\archive\ADANIENSOL_minute.csv,2632159.0330589325
D:\\FINANCE PROJECTS\\DATASETS\\archive\ADANIENT_minute.csv,10144290.694549808
D:\\FINANCE PROJECTS\\DATASETS\\archive\ADANIGREEN_minute.csv,5536189.792028542
D:\\FINANCE PROJECTS\\DATASETS\\archive\ADANIPORTS_minute.csv,9120017.267273664
D:\\FINANCE PROJECTS\\DATASETS\\archive\ADANIPOWER_minute.csv,4865518.108326504
D:\\FINANCE PROJECTS\\DATASETS\\archive\AEGISLOG_minute.csv,718894.7784774131
D:\\FINANCE PROJECTS\\DATASETS\\archive\AEGISVOPAK_minute.csv,769752.9204623877
D:\\FINANCE PROJECTS\\DATASETS\\archive\AFCONS_minute.csv,1999322.247856992
D:\\FINANCE PROJECTS\\DATASETS\\archive\AFFLE_minute.csv,1003275.9178666807
D:\\FINANCE PROJECTS\\DATASETS\\archive\AGARWALEYE_minute.csv,578924.0411277162
D:\\FINANCE PROJECTS\\DATASETS\\archive\AIAENG_minute.csv,369255.5067744036
D:\\FINANCE PROJECTS\\DATASETS\\archive\AIIL_minute.csv,836708.0219622339
D:\\FINANCE PROJECTS\\DATASETS\\archive\AJANTPHARM_minute.csv,749931.1529210539
D:\\FINANCE PROJECTS\\DATASETS\\archive\AKUMS_minute.csv,634295.3678427589
D:\\FINANCE PROJECTS\\DATASETS\\archive\AKZOINDIA_minute.csv,176983.41643094737
D:\\FINANCE PROJECTS\\DATASETS\\archive\ALKEM_minute.csv,1263504.9209722828
D:\\FINANCE PROJECTS\\DATASETS\\archive\ALKYLAMINE_minute.csv,308378.84501759126
D:\\FINANCE PROJECTS\\DATASETS\\archive\ALOKINDS_minute.csv,837837.6363585865
D:\\FINANCE PROJECTS\\DATASETS\\archive\AMBER_minute.csv,2308049.027558647
D:\\FINANCE PROJECTS\\DATASETS\\archive\AMBUJACEM_minute.csv,3882737.2709366833
D:\\FINANCE PROJECTS\\DATASETS\\archive\ANANDRATHI_minute.csv,768190.0217370567
D:\\FINANCE PROJECTS\\DATASETS\\archive\ANANTRAJ_minute.csv,911990.0855781873
D:\\FINANCE PROJECTS\\DATASETS\\archive\ANGELONE_minute.csv,4647912.564578188
D:\\FINANCE PROJECTS\\DATASETS\\archive\APARINDS_minute.csv,771629.2379770249
D:\\FINANCE PROJECTS\\DATASETS\\archive\APLAPOLLO_minute.csv,1094259.3385562126
D:\\FINANCE PROJECTS\\DATASETS\\archive\APLLTD_minute.csv,447993.3838806751
D:\\FINANCE PROJECTS\\DATASETS\\archive\APOLLOHOSP_minute.csv,4705493.246330997
D:\\FINANCE PROJECTS\\DATASETS\\archive\APOLLOTYRE_minute.csv,2232472.524527329
D:\\FINANCE PROJECTS\\DATASETS\\archive\APTUS_minute.csv,801489.4712083585
D:\\FINANCE PROJECTS\\DATASETS\\archive\AREM_minute.csv,1600504.787032924
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASAHIINDIA_minute.csv,220733.60174338814
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASHOKLEY_minute.csv,5062696.9615753535
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASIANPAINT_minute.csv,7037684.531517848
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASTERDM_minute.csv,697480.9963367096
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASTRAL_minute.csv,1307626.5236048265
D:\\FINANCE PROJECTS\\DATASETS\\archive\ASTRAZEN_minute.csv,348671.6540438664
D:\\FINANCE PROJECTS\\DATASETS\\archive\ATGL_minute.csv,2904293.857895604
D:\\FINANCE PROJECTS\\DATASETS\\archive\ATHERENERG_minute.csv,4194225.561728068
