decile,model,avg_VaR,avg_ES,exceedance_rate,kupiec_p_value
0,historical,-0.02418211108360261,-0.03118975598533116,0.06520090978013647,0.0
0,monte_carlo,-0.02533139021534929,-0.030987523461490776,0.052312357846853674,0.0
0,parametric,-0.0253489002695661,-0.031004326622774712,0.05344958301743745,0.0
2,historical,-0.024779650715162162,-0.03223300590970606,0.07056603773584906,0.0
2,monte_carlo,-0.02615192407557101,-0.03264644444178732,0.05811320754716981,0.0
2,parametric,-0.026180949802020907,-0.03267207740726772,0.05849056603773585,0.0
4,historical,-0.01435748647293954,-0.019509928506746325,0.06301886792452831,0.0
4,monte_carlo,-0.01529919056636287,-0.01923737830954114,0.05358490566037736,0.0
4,parametric,-0.01531103063569188,-0.019245559282952577,0.052075471698113204,0.0
7,historical,-0.01750520185254654,-0.023431643028655705,0.06754716981132075,0.0
7,monte_carlo,-0.018944935795561293,-0.02360834946800142,0.052075471698113204,0.0
7,parametric,-0.018956670351948465,-0.0236234761183108,0.0509433962264151,0.0
9,historical,-0.019621804390313483,-0.025376713386262365,0.061886792452830186,0.0
9,monte_carlo,-0.02105219002262243,-0.026538330562477248,0.05433962264150943,0.0
9,parametric,-0.021059355440413638,-0.026539451398746857,0.05471698113207547,0.0
